symbol;field
PORT3;'state'
PORT3F;'sector'
POSI3F;'sector'
PPEI11;'sector'
PPLA11;'sector'
PQAG11;'sector'
PQDP11;'website'
PRIO3F;'sector'
PRNR3F;'sector'
PRSN11B;'website'
PRSV11;'website'
PSSA3F;'sector'
PSVM11;'sector'
PSVM11F;'sector'
PTBL3F;'sector'
PTCH34;'shortName'
PTNT3F;'sector'
PTNT4F;'sector'
PVBI11;'sector'
QAGR11;'website'
QAMI11;'sector'
QBTC11;'sector'
QDFI11;'sector'
QETH11;'sector'
QIRI11;'sector'
QUAL3F;'sector'
R1DY34;'sector'
R1EL34;'sector'
R1YA34;'sector'
RADL3F;'sector'
RAIL3F;'sector'
RAIZ4F;'sector'
RANI3F;'sector'
RAPT3F;'sector'
RAPT4F;'sector'
RBBV11;'website'
RBCO11;'website'
RBDS11;'website'
RBED11;'website'
RBGS11;'website'
RBHG11;'sector'
RBHY11;'sector'
RBIR11;'website'
RBLG11;'sector'
RBRD11;'website'
RBRF11;'website'
RBRL11;'website'
RBRP11;'website'
RBRR11;'website'
RBRS11;'website'
RBRY11;'website'
RBVA11;'longBusinessSummary'
RBVO11;'website'
RCFA11;'website'
RCFF11;'sector'
RCRB11;'website'
RCSL3F;'sector'
RCSL4F;'sector'
RDNI3F;'sector'
RDOR3F;'sector'
RDPD11;'website'
RECR11;'website'
RECT11;'website'
RECV3F;'sector'
RECX11;'sector'
REDE3F;'sector'
REIT11;'sector'
RELG11;'sector'
RENT3F;'sector'
REVE11;'sector'
RFOF11;'website'
RIGG34;'state'
RIOT34;'sector'
RMAI11;'sector'
RNDP11;'website'
RNEW11F;'sector'
RNEW3F;'sector'
RNEW4F;'sector'
RNGO11;'website'
ROMI3F;'sector'
RPAD3F;'sector'
RPAD5F;'sector'
RPAD6F;'sector'
RPMG3F;'sector'
RRCI11;'sector'
RRRP3F;'sector'
RSID3F;'sector'
RSPD11;'website'
RSUL4F;'sector'
RVBI11;'website'
RZAG11;'sector'
RZAK11;'sector'
RZTR11;'sector'
S1BS34;'sector'
S1KM34;'sector'
S1MF34;'sector'
S1NN34;'sector'
S1PO34;'state'
S1TX34;'state'
S2CH34;'sector'
S2EA34;'sector'
SADI11;'website'
SAIC11B;'website'
SANB11F;'sector'
SANB3F;'sector'
SANB4F;'sector'
SAPP34;'sector'
SAPR11F;'sector'
SAPR3F;'sector'
SAPR4F;'sector'
SARE11;'website'
SBFG3F;'sector'
SBSP3F;'sector'
SCAR3F;'sector'
SCPF11;'website'
SDIL11;'website'
SEER3F;'sector'
SEQL3F;'sector'
SEQR11;'sector'
SGPS3F;'sector'
SHOT11;'sector'
SHOW3F;'sector'
SHPH11;'website'
SHUL4F;'sector'
SIMH3F;'sector'
SLBC34;'sector'
SLCE3F;'sector'
SLED3F;'sector'
SLED4F;'sector'
SMAB11;'sector'
SMAC11;'sector'
SMAL11;'sector'
SMFT3F;'sector'
SMTO3;'website'
SMTO3F;'sector'
SNCI11;'website'
SNEC34;'sector'
SNFF11;'sector'
SNSY3F;'sector'
SNSY5F;'sector'
SOJA3F;'sector'
SOMA3F;'sector'
SOND5F;'sector'
SOND6F;'sector'
SPTW11;'website'
SPXB11;'sector'
SPXI11;'sector'
SQIA3F;'sector'
SRVD11;'sector'
STBP3F;'sector'
STMN34;'sector'
STOC31;'state'
SULA11F;'sector'
SULA3F;'sector'
SULA4F;'sector'
SUZB3F;'sector'
SYNE3F;'sector'
T1AL34;'sector'
T1EC34;'state'
T1EL34;'state'
T1EV34;'sector'
T1LK34;'sector'
T1SS34;'sector'
TAEE11F;'sector'
TAEE3F;'sector'
TAEE4F;'sector'
TAKP34;'state'
TASA3F;'sector'
TASA4F;'sector'
TCIN11;'website'
TCIN12;'website'
TCNO3F;'sector'
TCNO4F;'sector'
TCSA3F;'sector'
TECB11;'sector'
TECK11;'sector'
TECN3F;'sector'
TEKA4F;'sector'
TELB3F;'sector'
TELB4F;'sector'
TEND3F;'sector'
TEPP11;'website'
TEQI11;'sector'
TF473;'shortName'
TF475;'shortName'
TF483;'shortName'
TF485;'shortName'
TF493;'shortName'
TF495;'shortName'
TF503;'shortName'
TF505;'shortName'
TF513;'shortName'
TF519;'sector'
TF523;'shortName'
TF525;'shortName'
TF533;'shortName'
TF535;'shortName'
TF543;'shortName'
TF545;'shortName'
TF553;'shortName'
TF563;'shortName'
TF565;'shortName'
TF573;'shortName'
